customer_id,full_name,email,city,segment,signup_date
1,Customer 1,c1@example.com,Mumbai,premium,2024-06-21
2,Customer 2,c2@example.com,Bangalore,premium,2024-01-30
3,Customer 3,c3@example.com,Pune,regular,2024-04-02
4,Customer 4,c4@example.com,Mumbai,regular,2023-03-05
5,Customer 5,c5@example.com,Mumbai,vip,2024-11-23
6,Customer 6,c6@example.com,Kolkata,regular,2023-11-20
7,Customer 7,c7@example.com,Mumbai,regular,2024-12-29
8,Customer 8,c8@example.com,Mumbai,regular,2024-11-18
9,Customer 9,c9@example.com,Kolkata,premium,2023-06-17
10,Customer 10,c10@example.com,Pune,regular,2023-04-01
11,Customer 11,c11@example.com,Delhi,regular,2025-02-21
12,Customer 12,c12@example.com,Bangalore,regular,2024-06-05
13,Customer 13,c13@example.com,Pune,regular,2025-05-05
14,Customer 14,c14@example.com,Delhi,regular,2024-05-30
15,Customer 15,c15@example.com,Mumbai,regular,2023-03-03
16,Customer 16,c16@example.com,Chennai,premium,2024-05-26
17,Customer 17,c17@example.com,Pune,regular,2023-09-08
18,Customer 18,c18@example.com,Bangalore,regular,2024-03-28
19,Customer 19,c19@example.com,Chennai,regular,2025-04-09
20,Customer 20,c20@example.com,Bangalore,premium,2024-07-10
21,Customer 21,c21@example.com,Kolkata,regular,2025-03-06
22,Customer 22,c22@example.com,Mumbai,regular,2023-08-26
23,Customer 23,c23@example.com,Bangalore,premium,2023-09-25
24,Customer 24,c24@example.com,Bangalore,premium,2023-08-26
25,Customer 25,c25@example.com,Delhi,regular,2023-01-02
26,Customer 26,c26@example.com,Bangalore,premium,2024-11-29
27,Customer 27,c27@example.com,Delhi,regular,2024-09-25
28,Customer 28,c28@example.com,Chennai,regular,2023-06-06
29,Customer 29,c29@example.com,Hyderabad,regular,2025-03-26
30,Customer 30,c30@example.com,Mumbai,regular,2025-01-11
31,Customer 31,c31@example.com,Bangalore,premium,2024-10-20
32,Customer 32,c32@example.com,Delhi,vip,2025-03-18
33,Customer 33,c33@example.com,Mumbai,regular,2023-04-14
34,Customer 34,c34@example.com,Hyderabad,regular,2024-05-27
35,Customer 35,c35@example.com,Bangalore,regular,2024-06-21
36,Customer 36,c36@example.com,Mumbai,regular,2023-09-10
37,Customer 37,c37@example.com,Pune,regular,2023-01-28
38,Customer 38,c38@example.com,Mumbai,regular,2024-01-29
39,Customer 39,c39@example.com,Hyderabad,regular,2025-02-15
40,Customer 40,c40@example.com,Mumbai,premium,2024-04-05
41,Customer 41,c41@example.com,Mumbai,premium,2024-03-09
42,Customer 42,c42@example.com,Mumbai,regular,2024-09-19
43,Customer 43,c43@example.com,Delhi,regular,2023-02-17
44,Customer 44,c44@example.com,Bangalore,regular,2025-04-25
45,Customer 45,c45@example.com,Hyderabad,regular,2024-08-02
46,Customer 46,c46@example.com,Pune,premium,2024-01-20
47,Customer 47,c47@example.com,Delhi,regular,2024-08-13
48,Customer 48,c48@example.com,Mumbai,regular,2023-07-04
